,out_oopDisp_mm_n2,out_oopDisp_mm_n5,out_endBend_kNm_n6
14431,0.17676839031741545,0.10634462869502526,0.13994358159592754
19322,0.16508900819440517,0.09317889721325351,0.1350150773321229
10760,0.17309503626259773,0.12817780006896334,0.1826789014623391
1181,0.2790807196006404,0.19642017491614683,0.18556467040627736
37115,0.3261514552133371,0.18328579041409365,0.22251224019973417
19992,0.3551379862484694,0.3467602896460926,0.5741058979929315
22802,0.3518413864556842,0.2398827622958528,0.29019811290165687
35754,0.24345389469718373,0.1641798062756653,0.18436496871048283
48063,0.2562399924649148,0.20279928528886243,0.3109497098018872
36859,0.3110341904492795,0.1765148427948967,0.2116176518271133
14283,0.36217858152020344,0.22536911068618543,0.2776660938361273
27563,0.3233493453894697,0.18479044544058182,0.16711520378716646
14504,0.18590468117170575,0.16204821165480704,0.23627638533121495
22580,0.22668833003673353,0.1498385630544497,0.22559255536461206
10334,0.3224545540171423,0.25155951224099554,0.23204500502577743
22443,0.2803051709522464,0.20557349299395006,0.23298531176031909
44788,0.18783554676462275,0.15416444625560327,0.13529068447845402
30707,0.22833662993312612,0.16466568446130214,0.17128173535229083
16368,0.17064613355938593,0.09089056769380269,0.12486624947310401
38820,0.19358104926061973,0.09788094417102913,0.08803216497519536
13140,0.22204954318545725,0.17308234851572052,0.345189844687267
18039,0.22982009983987942,0.1574558791260462,0.2608864822800817
28084,0.28927663181689744,0.19928842356038995,0.2011932168217633
49634,0.24536121314872375,0.13588915707971538,0.16038714697966996
42251,0.19040218517471977,0.23554120560484,0.31174410687072407
5165,0.2951634171611567,0.16897589417259645,0.16721247689763627
24344,0.16845624941132145,0.153709915049685,0.1925034856197919
22734,0.22779504568145423,0.1539920378671515,0.12831944489478295
21333,0.20036262597720642,0.1617660888373405,0.2633345222269058
47042,0.2188000376754262,0.14076361242594276,0.17747479005220326
43757,0.31404822454554016,0.19580890881163598,0.2995201193216822
41960,0.25004709428275407,0.20361430676154357,0.22304724230731823
1425,0.21069982104172555,0.1569386539606909,0.26406407055542946
